No,Time,Interval(mi),Indoor Humidity(%),Indoor Temperature(°C),Outdoor Humidity(%),Outdoor Temperature(°C),Absolute Pressure(hPa),Wind(m/s),Gust(m/s),Direction,Relative Pressure(hPa),Dewpoint(°C),Windchill(°C),Hour Rainfall(mm),24 hour Rainfall(mm),Week Rainfall(mm),Month Rainfall(mm),Total Rainfall(mm),Wind Level(bft),Gust Level(bft)
1,28-12-2008 14:10,30,57,17,68,4.8,1025.9,3.4,4.8,N,1006.1,-0.6,0.2,0,2.1,2.1,2.1,2.1,3,3
2,28-12-2008 14:40,30,56,16.8,66,4.9,1025.8,2.4,3.1,NE,1006,-0.9,2.5,0,2.1,2.1,2.1,2.1,2,2
3,28-12-2008 15:10,30,57,16.8,66,4.2,1025.6,3.1,4.4,N,1005.8,-1.6,0.1,0,2.1,2.1,2.1,2.1,2,3
4,28-12-2008 15:40,30,56,16.8,69,3.4,1025.4,1,2.4,E,1005.6,-1.7,3.4,0,2.1,2.1,2.1,2.1,1,2
5,28-12-2008 16:10,30,56,16.8,74,2.2,1025.5,0.7,1.4,NNE,1005.7,-2,2.2,0,2.1,2.1,2.1,2.1,1,1
6,28-12-2008 16:40,30,56,16.7,72,2.5,1025.4,0.3,1.4,N,1005.6,-2,2.5,0,2.1,2.1,2.1,2.1,1,1
7,28-12-2008 17:10,30,56,16.6,77,1.4,1025.5,0.3,0.7,N,1005.7,-2.2,1.4,0,2.1,2.1,2.1,2.1,1,1
8,28-12-2008 17:40,30,56,16.5,77,1.1,1025.4,0.3,0.7,NW,1005.6,-2.5,1.1,0,2.1,2.1,2.1,2.1,1,1
9,28-12-2008 18:10,30,56,16.4,78,0.9,1025.3,0.3,0.7,NE,1005.5,-2.5,0.9,0,2.1,2.1,2.1,2.1,1,1
10,28-12-2008 18:40,30,56,16.6,79,0.5,1025.5,0,0.3,N,1005.7,-2.7,0.5,0,2.1,2.1,2.1,2.1,0,1
11,28-12-2008 19:10,30,56,16.9,80,0,1025.4,0,0.7,N,1005.6,-3,0,0,2.1,2.1,2.1,2.1,0,1
12,28-12-2008 19:40,30,56,17,82,-0.3,1025.2,0,0,NE,1005.4,-3,-0.3,0,2.1,2.1,2.1,2.1,0,0
13,28-12-2008 20:10,30,56,17.1,84,0.9,1025.4,0,0.7,NE,1005.6,-1.5,0.9,0,2.1,2.1,2.1,2.1,0,1
14,28-12-2008 20:40,30,56,17.2,81,2,1025,1,1.7,N,1005.2,-0.9,2,0,2.1,2.1,2.1,2.1,1,2
15,28-12-2008 21:10,30,56,17.4,81,2.5,1024.9,0,1,N,1005.1,-0.4,2.5,0,2.1,2.1,2.1,2.1,0,1
16,28-12-2008 21:40,30,56,17.3,82,2.8,1025,0.3,1,N,1005.2,0,2.8,0,2.1,2.1,2.1,2.1,1,1
17,28-12-2008 22:10,30,56,17.2,81,2.8,1025,0,0.7,S,1005.2,-0.1,2.8,0,2.1,2.1,2.1,2.1,0,1
18,28-12-2008 22:40,30,56,17.2,80,3,1024.9,0,0,NE,1005.1,-0.1,3,0,2.1,2.1,2.1,2.1,0,0
19,28-12-2008 23:10,30,56,17.1,81,2.8,1024.9,0,1,NE,1005.1,-0.1,2.8,0,2.1,2.1,2.1,2.1,0,1
20,28-12-2008 23:40,30,56,17.1,79,2.9,1024.9,0,1,N,1005.1,-0.4,2.9,0,2.1,2.1,2.1,2.1,0,1
21,29-12-2008 00:10,30,56,17,75,3.5,1024.8,1.4,3.1,E,1005,-0.5,3.5,0,2.1,2.1,2.1,2.1,1,2
22,29-12-2008 00:40,30,56,16.8,75,3.1,1024.7,0.7,1.4,N,1004.9,-0.9,3.1,0,2.1,2.1,2.1,2.1,1,1
23,29-12-2008 01:10,30,55,16.7,74,3,1024.4,0.3,0.7,SW,1004.6,-1.2,3,0,2.1,2.1,2.1,2.1,1,1
24,29-12-2008 01:40,30,55,16.5,76,2.6,1024,0.3,0.7,N,1004.2,-1.2,2.6,0,2.1,2.1,2.1,2.1,1,1
25,29-12-2008 02:10,30,56,16.4,78,2.2,1023.9,0,0.7,NE,1004.1,-1.2,2.2,0,2.1,2.1,2.1,2.1,0,1
26,29-12-2008 02:40,30,56,16.3,74,2.6,1023.9,1,2,SEE,1004.1,-1.6,2.6,0,2.1,2.1,2.1,2.1,1,2
27,29-12-2008 03:10,30,55,16.2,75,1.7,1023.8,0,0,N,1004,-2.3,1.7,0,2.1,2.1,2.1,2.1,0,0
28,29-12-2008 03:40,30,55,16,76,1.2,1023.7,0.7,1.7,NE,1003.9,-2.6,1.2,0,2.1,2.1,2.1,2.1,1,2
29,29-12-2008 04:10,30,55,15.9,76,1.3,1023.4,1,1.7,NNE,1003.6,-2.5,1.3,0,2.1,2.1,2.1,2.1,1,2
30,29-12-2008 04:40,30,55,15.8,77,0.9,1023.4,0.7,1.4,N,1003.6,-2.7,0.9,0,2.1,2.1,2.1,2.1,1,1
31,29-12-2008 05:10,30,55,15.7,77,0.6,1023.5,0.7,1.4,NE,1003.7,-3,0.6,0,2.1,2.1,2.1,2.1,1,1
32,29-12-2008 05:40,30,55,15.6,76,0.6,1023.8,0,0.7,NE,1004,-3.1,0.6,0,2.1,2.1,2.1,2.1,0,1
33,29-12-2008 06:10,30,55,15.4,76,0.9,1023.4,0.7,2,NE,1003.6,-2.9,0.9,0,2.1,2.1,2.1,2.1,1,2
34,29-12-2008 06:40,30,55,15.3,75,1.3,1023.4,1.7,3.1,NE,1003.6,-2.6,1.3,0,2.1,2.1,2.1,2.1,2,2
35,29-12-2008 07:10,30,55,15.3,75,1.4,1023.8,0.7,1,N,1004,-2.5,1.4,0,2.1,2.1,2.1,2.1,1,1
36,29-12-2008 07:40,30,55,15.3,76,0.8,1023.7,0,0.7,NE,1003.9,-2.9,0.8,0,2.1,2.1,2.1,2.1,0,1
37,29-12-2008 08:10,30,55,15.6,76,0.7,1023.6,0.3,1.4,NNE,1003.8,-3,0.7,0,2.1,2.1,2.1,2.1,1,1
38,29-12-2008 08:40,30,55,16,75,1.3,1023.7,2.4,3.4,NE,1003.9,-2.6,-1.5,0,2.1,2.1,2.1,2.1,2,3
39,29-12-2008 09:10,30,54,16.3,74,1.2,1024,0,1,N,1004.2,-2.9,1.2,0,2.1,2.1,2.1,2.1,0,1
40,29-12-2008 09:40,30,54,16.5,71,2.7,1024.3,0,0,N,1004.5,-2,2.7,0,2.1,2.1,2.1,2.1,0,0
41,29-12-2008 10:10,30,53,16.5,64,5.3,1024.2,0,0,NE,1004.4,-1,5.3,0,2.1,2.1,2.1,2.1,0,0
42,29-12-2008 10:40,30,54,16.5,60,6.5,1024.4,0,0,E,1004.6,-0.7,6.5,0,2.1,2.1,2.1,2.1,0,0
43,29-12-2008 11:10,30,54,17,58,6.8,1024.5,0.3,0.7,NW,1004.7,-0.9,6.8,0,2.1,2.1,2.1,2.1,1,1
44,29-12-2008 11:40,30,54,17.3,58,7.3,1024.3,0,0.3,SW,1004.5,-0.4,7.3,0,0.6,2.1,2.1,2.1,0,1
45,29-12-2008 12:10,30,54,17.4,53,7.9,1024,0,0.3,S,1004.2,-1.1,7.9,0,0,2.1,2.1,2.1,0,1
46,29-12-2008 12:40,30,53,17.4,52,7.9,1023.9,0,0.7,SE,1004.1,-1.3,7.9,0,0,2.1,2.1,2.1,0,1
47,29-12-2008 13:10,30,53,17.3,59,5.5,1023.6,0.7,1.4,NE,1003.8,-1.9,5.5,0,0,2.1,2.1,2.1,1,1
48,29-12-2008 13:40,30,54,17.2,62,4.8,1023.3,0.3,1,NW,1003.5,-1.9,4.8,0,0,2.1,2.1,2.1,1,1
49,29-12-2008 14:10,30,54,17.1,65,4.1,1023.4,0,1,E,1003.6,-1.9,4.1,0,0,2.1,2.1,2.1,0,1
50,29-12-2008 14:40,30,53,17,66,4.2,1023.1,0.7,1.4,E,1003.3,-1.6,4.2,0,0,2.1,2.1,2.1,1,1
51,29-12-2008 15:10,30,53,16.8,68,3.3,1023.1,1.4,2.4,E,1003.3,-2,3.3,0,0,2.1,2.1,2.1,1,2
52,29-12-2008 15:40,30,53,16.6,72,2,1023,0,0,N,1003.2,-2.5,2,0,0,2.1,2.1,2.1,0,0
53,29-12-2008 16:10,30,53,16.5,74,1.4,1022.9,0.3,1,NE,1003.1,-2.7,1.4,0,0,2.1,2.1,2.1,1,1
54,29-12-2008 16:40,30,53,16.4,75,1.1,1023,0.7,1.7,N,1003.2,-2.8,1.1,0,0,2.1,2.1,2.1,1,2
55,29-12-2008 17:10,30,54,16.5,75,0.8,1023.1,0.3,1.4,NE,1003.3,-3.1,0.8,0,0,2.1,2.1,2.1,1,1
56,29-12-2008 17:40,30,53,16.6,76,0.4,1023.3,0,0.7,NE,1003.5,-3.3,0.4,0,0,2.1,2.1,2.1,0,1
57,29-12-2008 18:10,30,54,16.7,77,-0.2,1023.4,0.3,0.7,SW,1003.6,-3.7,-0.2,0,0,2.1,2.1,2.1,1,1
58,29-12-2008 18:40,30,53,16.9,78,-0.7,1023.3,0,0.3,SW,1003.5,-4.1,-0.7,0,0,2.1,2.1,2.1,0,1
59,29-12-2008 19:10,30,53,17,79,-1.3,1023.6,0,0,W,1003.8,-4.5,-1.3,0,0,2.1,2.1,2.1,0,0
60,29-12-2008 19:40,30,53,17,80,-2.2,1023.7,0,0,N,1003.9,-5.2,-2.2,0,0,2.1,2.1,2.1,0,0
61,29-12-2008 20:10,30,53,17.1,84,-3,1023.6,0,0,N,1003.8,-5.3,-3,0,0,2.1,2.1,2.1,0,0
62,29-12-2008 20:40,30,53,17.1,84,-3.1,1023.9,0,0.7,NW,1004.1,-5.4,-3.1,0,0,2.1,2.1,2.1,0,1
63,29-12-2008 21:10,30,53,17.2,83,-3.2,1024.1,0,0,NW,1004.3,-5.7,-3.2,0,0,2.1,2.1,2.1,0,0
